;; -*- coding: utf-8 -*-

[Parameter]
first-char=bcdfghjklmnpqrstvwxyz
total-char=abcdefghijklmnopqrstuvwxyz

[Punctuation]
{ 『
cpua 篘 牎 笉
cpue 箠 簉
cpui 彳 牕
cpuo 笒
cpuu 篪 篵
cq 春
cqa 欪
cqaa 猭
cqae 歗
cqao 欼 歠
cqau 欩 夦
cqe 猜
cqea 朁 旾
cqee 暙
cqei 曹 匙 猹 犲 獑 鼌 暷 萅 鼂
cqeu 晨 晟
cqi 昌
cqia 畅 猖 猠 旵 晿 曟 歜 歂 獕
cqie 曺 敊
cqii 暢
cqio 靗
cqo 猝
cqoa 昶
cqou 欻 歘
cqu 晁
cqui 氚
cquo 獊
cquu 暰
cr 传
cra 仓
crae 伺 僝 伬
crao 傪 佁
cre 俦
crea 仺 伡 侴
cree 侙 偆 儬 伝 儧
crei 俥 偖 儊 倀 儔 傳
creu 傸
cri 促
cria 侧 催 倡 偲 肏 氽 側
crie 儏 仧 俶 偨 佌
crio 偿 倘 僘 償 儻
criu 鯈
cro 储
croa 伔 倉
croe 侪 儃 儭 傗 佽 倅 儕 儲
croo 侘
cru 仇
crua 侈 傺 儳
crue 伥 偛 偢 倕 儹
cruo 伧 倸 偁 僢 侳 傖
cruu 傂
cs 参
csa 础
csae 虫
csai 孱
csao 碜 叅 嵾 參 磣
cse 层
csea 砗 嶜
csee 漦 崝
csei 齿 碴 馇 礤 嶆 硳 嵖 磛 硩 杘 饎 摰 餝 嶊 餷 硨 齒 礎
cseu 峸 磢 磭
csi 餐
csia 矗 硶 岀 豠 嗭 磪
csie 岾 祡 飺
csio 饓
cso 尺
csoe 辞 嵼 巐 餈
csoo 崇 崈 硰
csou 磁 磋 嵯 羼 嶒 礠 嵳 層
csu 崔
csua 馋 碀 岻 饞
csue 掣 饬 礸 巑 硾 飭
csui 硟
csuo 岔 岑 矬 汆 嵢 巉
csuu 斫
ct 场
cta 墀
ctao 墋 畷
cte 城
ctee 畴 堾 埥
ctei 疇
cteu 墄 壥
cti 埕
ctia 鼚 畼 墔 埁 場
ctie 埱
ctio 埫
cto 畜
ctoa 堔
ctoe 垐
ctoo 垞 塣
ctou 堘 畻 灻 烾 墫 壿
ctu 坼
ctua 坻 垑
ctue 塲 塖
ctui 圳
ctuo 埰 畟 鼀
cu 从
cua 猖
cue 稠
cui 催
cuii 倡
cuo 豺
cuu 舱
cv 重
cva 肠
cvaa 鄛
cvai 脀 肔
cvao 腏 臎
cve 陈
cvea 胵 邨
cvee 腠 鰆 鄼
cvei 朝 翅 郴 阷 翄 膵 脨 鰽 敶 陳
cveu 郕 鯎 陙 脣
cvi 耻
cvia 鲳 鄵 脭 翤 翨 翀 臅 膗 鯧 腸
cvie 繛 鮆
cvii 亍 埀
cvio 鲿 鱨
cviu 膥
cvo 聪
cvoa 恥
cvoe 翠 膪 鄽 鄐 鯙 脺
cvoo 霃 腟
cvou 塍 肞 鄫
cvu 垂
cvua 脆 酁 卶 聦 翆 脃
cvue 陲 膓 聅 胣 隀 腄 膬 酂 酇
cvui 刱 脠 聰
cvuo 脞 聡 郗
cw 处
cwa 充
cwaa 玆
cwau 玚
cwe 敕
cwea 珁
cwee 瑃
cwei 敇 韔 璴 蓌
cweu 敐 珹
cwi 敞
cwia 璀 衰 琩 珵 珿 瑒
cwie 璨 琡 玼
cwio 瑺
cwo 琛
cwoe 瓷 珫 韕 琗
cwoo 琮 瑏
cwou 産 甆 瑳
cwu 卒
cwua 琤 椉 処
cwue 甀
cwui 璁 玔
cwuo 瓻 夎 离 產
cwuu 瑽
cx 穿
cxa 窓
cxao 辝
cxau 綤
cxe 尘
cxea 舛
cxee 憃 惷
cxei 慙 竀 慗
cxeu 窚
cxi 窜
cxia 巣
cxo 尝
cxoa 甞 牚 嘗
cxoe 恣
cxoo 懘 惉
cxou 慈 窲
cxu 窗
cxua 怱
cxue 愁 竁
cxui 窻 悤 竄
cxuo 辤 忩 憌 辭
cxuu 惩 懲
cy 楚
cya 词
cyae 謘 詞
cyai 诎 詘
cyao 謲 訍 醦 醊
cyau 戠
cye 差
cyea 袃
cyei 裁 醋 谌 謿 頙 諃 謓 醻 誎 諶
cyeu 诚 誺 顣 誠
cyi 酲
cyia 譂 讇 誯 訵 諯
cyie 諔
cyii 叢
cyio 裳
cyiu 訬
cyo 叉
cyoa 訦
cyoe 颤 醇 醕 顇 顫
cyoo 诧 酧 誴 詫
cyou 酬 詶 醝
cyu 谄
cyua 谗 詧 誃 讒 諂
cyue 酢 誗 諈
cyui 讐 謥 醜
cyuo 谶 酫 讖
cz 存
cza 超
czaa 罺
czao 踆
cze 采
czea 瓺 跮
czee 踌 蹖 踳
czei 躇 豺 舡 艚 跴 乽 蹅 踸 貙 牀 趣 踅 跇 躊
czeu 臭 蹙 蹰 顀
czi 承
czia 巢 踹 疀 爯 趩 踀 趗
czie 丑 雌 踔 趠 跐 踧
czo 蹿
czoa 雠 矠
czoe 蹴 艟 躔 乲 罿 蹵 讎 躕
czoo 孮 乼 躥
czou 蹭 蹉 蹲 艖
czu 船
czua 雏 艬 趂 趍 趀 趋 雛 趨
czue 踟 趎 跦
czui 雔 趡 跾
czuo 趁 舱 踩 趻 舩 乿 艙
d 的
da 对
daa 缎
dai 陡
dao 翟
dau 娣
db 点
dba 弟
dbae 癜 弚
dbai 髢
dbao 兊
dbe 赌
dbei 癫 瘩 痘 疔 匒 贉 瘨 癲 賭
dbeu 鬌
dbi 单
dbia 典 兑 甸 疸 鼑 痶 癉 兌
dbie 痁
dbo 瘅
dboa 髧
dbou 赕 痥 賧
dbu 贷
dbua 癚 痑
dbui 痽 貸
dbuo 瘹 豄
dc 德
dca 藋
dcaa 衟
dcae 苐
dcao 軩 蝃
dcau 虭 蛁
dce 待
dcea 菿 蜨
dcee 蝳
dcei 蝶 蠹 芏 虰 蟽 徳 厧 齻 菄 蝀 荳 荰 艼 徚 薘
dceu 荙 轪 軚 蔕 螮 蒧 軑
dci 薡
dcia 苖 蕇
dcii 薱 轛 對
dcio 蟷
dco 荡
dcoe 蒂 蔐 藡 菧 蕫 蜳
dcoo 蚪 菪 蝊 蔋 萣 螲 蕩
dcou 衜 莌 導
dcu 董
dcua 荻 萏 彽 厎 軧 蜔 苳 茤 虳 軝
dcue 苵
dcui 蔸 蚮 蜑 菂 葮 莜 蓧
dcuo 荅 蓞
dd 斗
dda 殆
ddaa 乧
ddae 汈 澱
ddai 郖 濻
ddao 澄
dde 登
ddea 冻 沌
ddei 夺 渎 滇 耷 奲 瀻 涷 浢 鬪 涜 凟 殰 凍 瀆
ddeu 亣 汏 澸 奀 沰
ddi 洞
ddia 澂 泹 璗 淂 殬 凙 灗 潬 濎 殫
ddie 奌 鬭
ddii 剅 濧 亇
ddio 澢 灙
ddo 渡
ddoe 滴 潡 渧
ddoo 淀 鬦
ddou 淡 奠 殚 羍
ddu 涤
ddua 凋 澹 泜 潒 豋 奃 奝 鬬 淍
ddue 湩 毭 瀩 沲 潪
ddui 鳭 殦 滌 奪
de 大
dea 顿
dei 逗
deie 捣
deii 颠
deiu 棣
deu 达
df 打
dfa 掇
dfau 挅
dfe 搭
dfea 捯 扽
dfei 揲 擣 攧 挕 撢
dfeu 摕
dfi 担
dfia 提 挏 撣
dfie 掉
dfio 挡 攩 擋
dfo 抖
dfoa 抌
dfoe 掂 掋 撴 揥
dfoo 掟
dfou 掸
dfu 爹
dfua 抵 捣 扚 挆 扺 擔
dfue 揰 撘 扥
dfui 拞 搗
dfuu 颩
dg 定
dge 度
dgea 庉
dgei 戴 戜 臷 靪 韇 靯 韃
dgeu 鞑 宕 廗
dgi 店
dgia 靼 髑 戥 宲 鞮 戙 彈
dgii 弔
dgo 弹
dgoe 弴
dgoo 弾
dgu 底
dgua 骶 靮 弤
dgue 瓞
dh 东
dha 燈
dhae 煆
dhe 灯
dhea 炖
dhei 黩 甙 燵 鬥 黷
dheu 丼
dhi 丁
dhia 豆 炟 東
dhie 扂 點
dhio 黨
dho 焍
dhoa 黕
dhoe 熵 燉
dhoo 秺 炨
dhu 黛
dhua 歹 炵 黵 秪
dhui 煅 石 不
dhuo 稻 稲
di 当
dia 睹
diae 嘟
diai 巅
dj 带
dja 凳
djaa 斷
djae 鈟 鈬
djao 铎 镫 绐 緿 覴 鑃 紿 鐙
djau 釖
dje 导
djea 钝 绖 絰 鈍
djee 帱
djei 朵 钉 觌 鎝 繨 鐽 帯 鉪 幉 帄 鋀 鑟 帾 覩 觰 幬 覿 釘
djeu 釱 帶
dji 铛
djia 钿 锝 铞 鎉 觛 鍀 鍉 鐤 鍴 钽 錪 絧 鈿 銱 鐸 鉭
djie 鋽 錖
djio 鐺
djo 断
djoa 紞 帎
djoe 缔 镀 镝 镦 繵 錞 鐜 鍗 鏑 締 鍍 鐓
djoo 锭 钭 錠 鈄
djou 綐
dju 钓
djua 幨 觝 錭 釣
djue 缍 铤 铥 銩 綞 鋌
djui 缎 锻 帒 緞 鍛
djuo 铫 幍 絩 銚
dk 丹
dka 叨
dkae 叼 噉
dkai 咄 叾
dkao 噔 嚁
dke 呆
dkea 吨 囤 啑 咥 噸
dkei 叮 嘟 喋 嗒 咑 啿 嘾 唗 匵 唞 噠
dkeu 哒 呔
dki 吊
dkia 凼 呾 匰 嚪 嚸 單
dkie 凸
dkii 嚉
dkio 噹
dko 嘀
dkoe 喥
dkoo 啶
dkou 啖 噵
dku 咚
