;; -*- coding: utf-8 -*-

[Parameter]
first-char=bcdfghjklmnpqrstvwxyz
total-char=abcdefghijklmnopqrstuvwxyz

[Punctuation]
{ 『
hlui 惶 遑
hluo 耠
hluu 逅
hm 横
hma 阚
hmae 睯 闞
hme 糊
hmea 枑 眓
hmee 駴 闬 馯 槥 櫘 騞 閈
hmei 桓 阖 盍 粠 閧 楜 椛 糀 驩 橞 檴 楛 糮 闔 橫 驊 樺
hmeo 矐
hmeu 闳 盇 槬 睳 閎
hmi 梱
hmia 棞 睅 駻 毼 阛 糫 梙 槵 瞣 榥 阓 闤 闠
hmie 椃 檅
hmiu 毜
hmo 核
hmoa 粐 槴 楎
hmoe 骇 杭 麾 阂 櫰 櫎 駭 閡
hmoo 楁 睆 梡
hmou 闂
hmu 槐
hmua 阍 槲 棔 睧 閽
hmue 柇 籺 麧 粍
hmui 桦 骅 糇 睺 杹 楻 騜 檓
hmuo 桧 閤 睔 梒 粭 瞺 閄 檜
hmuu 桁
hn 婚
hna 嫿
hnai 褘
hne 祜
hnee 袆
hnei 鹕 鹱 嫨 鶾 袔 姮 妅 娂 媩 鶦 婲 鷨 婳 嬅 鷬 鶘 鸌
hneo 鸖 嫮
hni 祸
hnia 褐 鹖 婟 鹮 孈 嬇 嫼 嬛 鶡 禍
hnie 嫭
hno 鹤
hnoa 媈 禈 裈 鶴 褌
hnoe 鶮
hnoo 鵍
hnu 鹄
hnua 鴅
hnue 姀 姡 鵠
hnui 媓 婎
hnuo 禬 襘 妎 娢
hnuu 鸻 鴴
ho 话
hoa 扈
hoe 亨
hoeu 麾
hoi 阖
hoia 阂
hoo 洪
hooa 豁
hooe 鸿
hooi 憾
hou 焊
hp 乎
hpa 戶
hpe 禾
hpee 篲
hpei 簧 篕 箶
hpi 箎
hpo 簄
hpoa 篧
hpoe 笐 籇
hpoo 篊
hpou 乊 乥
hpu 篁
hpua 笏
hpui 篌
hpuo 筨
hpuu 筕
hq 狠
hqa 犼
hqae 昬 敯
hqe 旱
hqee 昊 犴 暳
hqei 猢 獾 暵 晎 狟 獚 曂 歡 獲
hqeo 曤
hqeu 昦
hqi 晃
hqia 猾 晘 猂 猲 暍
hqie 歑 獩
hqio 晄
hqo 晖
hqoa 昈 暉
hqoe 氦 犿 暠
hqoo 晥
hqou 欻
hqu 昏
hqua 曷 昒 曶
hque 晦 晧 歓
hqui 猴 獔 獆 獋 曍 暤 暭
hquo 晗 欱
hquu 狐
hr 何
hra 侯
hrae 佷 鄇
hre 合
hrei 盒 佄 傼 仜 僡 樖 會
hreu 傄
hri 候
hria 佪 倱
hrie 俿
hro 伙
hroa 含
hroe 儫 傐
hroo 俒
hru 化
hrua 佝 佫
hrue 佸 俰
hrui 偟 倠
hs 华
hsa 黑
hsaa 餯 旤
hsae 虫
hsai 崡
hsau 屷
hse 卉
hsea 戸
hsee 砉 屽 崋
hsei 磺 觳 岵 豰 硅 餀 饚 硔 縠 餬 硴 峘 嗀 屸 矱
hseu 豲 豗
hsi 翰
hsia 馄 餲 榦 碋 餛
hsie 饖
hso 豢
hsoa 鼲 餫
hsoo 硡
hsu 毁
hsua 豞
hsue 舙
hsui 礉 崲 餭 毇 礐 餱 毀
hsuo 峆 饸 嵈 餄
ht 坏
hta 堕
htai 墮
hte 埖
htei 垬 黊 壊 塃 墴 壏
hti 壑
htia 垾
hto 壶
htoa 壷 堚 壸 壺 壼
htoe 壕 壞
htoo 塰 垸
htu 堠
htua 垎
htui 堭
htuo 垀
htuu 垳 垕
hu 会
hua 狐
hue 秽
hui 遑
huo 含
huu 衡
huui 徊
hv 胡
hve 邯
hvea 魱
hvee 邗
hvei 翮 羾 魽 鲄 魟 鰗 鳠 酄 鱑 鰴 魺 鱯 臒
hveo 鄠 臛
hveu 翃 耾 隓
hvi 翙
hvia 鮰
hvie 鯱 翽
hvii 干
hvo 肓
hvoa 靏 鯶 翚 翬
hvoe 胲 肮 魧 鰝 翯 脝 鄗
hvoo 鲩 翝 霟 鯇
hvu 霍
hvua 郇 肒
hvue 腄 聕 膴
hvui 隍 鳇 靍 翭 鯸 靃 翵 鱟 鰉
hvuo 肣 郃 靎 雽 鰀
hvuu 胻 郈 鲘 鮜
hw 环
hwa 亥
hwau 巟
hwe 韩
hwei 瑚 璜 玒 瓳 璍 璤 韢 瓁 韓
hwi 毫
hwia 豪 亨 褱 環
hwie 琥 瓛
hwo 珲
hwoa 琿
hwu 珩
hwua 瑍 亢
hwue 瓱
hwui 褢 瑝
hwuo 豃 琀 玜 璯
hx 忽
hxa 憨
hxai 隳
hxau 恏
hxe 惑
hxee 慧 彗
hxei 惠 恚 畵 窢 畫
hxeu 辉 兤 輝
hxi 患
hxia 夥 慁
hxo 鲎
hxoa 黉 彚 彙
hxoe 衁
hxu 覈
hxue 惒
hy 欢
hya 譀
hyae 詪
hyai 顄 諱
hye 谎
hyea 戏 誙
hyee 讳 顸 酐 譿 頇
hyei 诃 酣 讧 醐 頀 誮 譁 讙 譓 顭 韾 訶 訌 護 謊
hyeu 诙 醢 詴 詼
hyi 颢
hyia 盖 諣 讗 顥
hyie 謼 顪 諕
hyo 诨
hyoa 顐 諢
hyoe 颃 酼 譹 颏 謞 頏 頦
hyoo 羦
hyu 颔
hyua 諙 謋 雘
hyue 诲 訸 頶 许 話 誨 許
hyui 諻 韹 譭 詯 謢
hyuo 颌 詥 詤 譮 頷 頜
hz 孩
hza 幻
hze 艧
hzee 豻
hzei 乤 雗 貛 貆 趪 舼 瞏
hzi 踝
hzia 貋
hzo 航
hzoi 圅
hzu 貉
hzua 爳
hzue 趷
hzui 艎
hzuu 貈
j 就
ja 经
jaa 缴
jaae 绞
jae 暨
jai 降
jao 迳
jau 妓
jaue 姣
jaui 袈
jb 句
jba 痉
jbae 赆 瘕 賮 匓 疦 贐
jbai 疖 兯 郥
jbau 痂
jbe 卷
jbea 兼 皍 曁 疠 賤 痙
jbee 贱 賎 瘈
jbei 髻 赍 賫 賷 瘽 癘
jbeu 蠲
jbi 具
jbia 疽 兾
jbie 冀
jbo 皎
jboe 瘠 癠 賋 痎
jbou 鬋 匊 瘚
jbu 疾
jbua 疚 旣 勼 痀
jbue 鬏 癪 痵 癤
jbui 皆 皦 鵙 皛
jbuo 疥 谻 皭
jc 节
jca 径
jcaa 蕝 蟣
jcae 厩 荩 葭 蝍 蔇 徦 徤 莭 蜛 芵 蚗 莙 蔃 藎
jcai 螿 蔣
jcao 茎 轇
jcau 茄 葌
jce 街
jcea 苣 蝔 蚷 葝 螶 莖 徑
jcee 藉 菁 荊
jcei 堇 芰 虹 蕀 轚 蘻 囏 螹 轞 蛣 蜐 蓵 蠘 徣 菫 厪 蓳 齽 蟼 輂 蓻 蘜 蟿 蔪 蕈 薑
jceo 荚 蛱 蘎
jceu 荐 蕨 徛 蠒 蟨 蟩 莢 蛺
jci 辑
jcia 菌 茧 莒 龃 苴 蕺 蘮 蕑 蕳 萛 蔨 蜠 菎 蛆 蠼 輯 繭 齟
jcie 茮 韮
jco 较
jcoa 菺
jcoe 蒋 蛟 蒺 荠 茭 蠀 虀 螏 螀 菨 蒟 薦 較 薺
jcoo 菅 茳 葏 虃 藆 菹
jcou 厥 蒹 葥 葁 菤 蹷 蝤 蟻
jcu 轿
jcua 菊 蓟 芨 艽 虮 彶 芶 茍 葪 芁 荕 蘏 蘔 虳 蚐 薢 薊
jcue 蟜 蠞 蒩 轎
jcui 蕉 徼 蟭 藠 齨 蝺 葰 蟂 莋 舊
jcuo 芥 蚧 菳 葅
jd 江
jda 决
jdaa 漅
jdae 津 浸 夬 冿 湕 浕 涺 泦 濜 決
jdai 殛 奬
jdao 浚 泾 斚 潏
jdau 泇
jde 酒
jdea 渐 浇 湝 洰 奆 殌 涇 淺
jdee 浅 斠 汫 瀞 凊 潔
jdei 洁 奇 豇 瀐 殱 瀳 殭 漖 刧 刼 漌 溍 凚 殣 汥 漸 澆
jdeo 浃
jdeu 减 洊 浹 減
jdi 溅
jdia 沮 涓 龟 湒 濈 瀱 斝 泂 湨 灍 灈 澗 濺
jdie 澽 濬
jdo 济
jdoa 滘
jdoe 奖 済 奨 滰 湙 濟
jdoi 涧
jdoo 漃 瀽 濅
jdou 剪 湔 淃
jdu 激
jdua 净 汲 洚 氿 泲 漈 滐 浄 汣 泃 淗 汮
jdue 歼 湫 瀄
jdui 洎 潗 灚 潐 鬮
jduo 瀸 剱 劎 劒 凈 殲 淨
je 进
jea 巨
jee 瑾
jei 截
jeia 柬
jeie 捷
jeii 菁
jeiu 椒
jeo 霁
jeu 奇
jeui 矶
jf 接
jfa 据
jfaa 摷 撧
jfae 掘 抉 捃 揤 旔 摾 挶 揵
jfai 摪 揟
jfao 摎 捘
jfau 拁
jfe 技
jfea 拒 捷 拣 挗
jfei 拮 撠 擮 搢 捄 擏 撷 揀 擷
jfeo 挟
jfeu 撅 掎 挾
jfi 揭
jfia 捐 攫 飓 挸 掲 擑 颶
jfie 據
jfo 挤
jfoe 掶 挍 攗 攟 擠
jfoo 搅 撹
jfou 搛 揃 揂 捲
jfu 拘
jfua 掬 拠 捔
jfue 揪 旌 挢 擶 捁 擳 旍 撟
jfui 攪
jfuo 捡 抸 扴 攕 撿
jg 即
jga 弪
jgaa 鞿 魕
jgae 鞬 弜 廐 宭 廄
jgai 廌
jgao 強
jge 军
jgea 既 暨 巠 瓨 弡 戔 戩 弳
jgee 戒 靬 寋 宑 緳
jgei 疆 戟 戬 鞯 廑 庋 庴 鞊 彊 冣 鬾 艱 韉 韁 軍
jgeu 寄 戛 戞
jgi 寂
jgia 戢 强 寠 彏
jgo 弶
jgoe 韀 骹
jgoo 弿 寖
jgou 彅 飬
jgu 靳
jgua 鞠 鞫
jgue 廭 鞂
jgui 廏 寯
jguo 骱 鞈 庎
jh 积
jha 季
jhaa 穖
jhae 烬 车 穊 疌 焗 炔 燼
jhao 焌 烃
jhau 旡 兓
jhe 稽
jhea 炬 戋 熸 煯 稭 秬 烴
jhee 積
jhei 秸 稘 熞 稉 燛 爑 黚 青 鬳
jheu 嵇 幵 丼 豦
jhi 肩
jhia 炯 柬 棘 稷 扃 馤 更 稩 馢 畺 燝 烱 煚 煛 爠 焆 車
jhie 韭
jhii 革 其 黅 虡
jhiu 熦
jho 夹
jhoe 穧 烄 秔 黥
jhoo 稼
jhou 燇 稵
jhu 灸
jhua 穄
jhue 穚 煍
jhui 丌 焳 燋 扄
jhuo 爝 穱 夾
ji 见
jia 蛟
jiae 叽
jiai 羁
jie 冀
jii 坚
jiu 尖
jj 解
jja 纪
jjaa 鐖 糺 鐑 繼
jjae 键 锯 锔 觖 鈌 覠 紀 鍵 鋦 鋸
jjai 纠 觓 鈯 巹 糾
jjao 経 鋑 鐍
jjau 妀 鉫 釼 觔 劤 絕
jje 结
jjea 钜 帴 鉅 緁 經
jjee 绩 钘 績 鈃
jjei 缰 觐 缙 銈 錤 銡 鋻 鍳 鏩 鑑 鑬 繮 鉣 斳 縳 鑒 結 縉 覲
jjeo 铗
jjeu 缄 镢 觭 鐝 鋏 緘
jji 鉴
jjia 舅 绢 缉 觊 钾 鉏 鍓 覸 絸 鐗 繝 覵 鍻 幜 絅 綗 鋗 緝 覬 鉀 鐧 絹 钁
jjie 鐻
jjo 继
jjoa 忌 鍕
jjoe 镜 绞 铰 鑇 纐 絞 鉸 鏡
jjoi 锏
jjoo 镓 鎵 幏 鑳
jjou 缣 锩 継 觧 帣 縑 錈
jju 绝
jjua 级 钧 绛 觙 繲 絶 觼 銁 銞 釠 斪 絇 钑 級 絳 鈞 鈒
jjue 鑙 幯
jjui 锦 缴 镌 鏶 鐎 鵤 鎸 銄 繳 錦 鐫 覺
jjuo 给 铪 紒 縘 鑯 紟 覐 鐱 給 鉿
jjuu 紤
jk 叫
jka 君
jkaa 嘰
jkae 巨 唧 啹 嚍
jkai 囝
jke 噤
jkea 喈 啑
jkei 咭 匞 匶 唶
jkeu 噘 唊
jki 咀
jkia 呾 嘂 冋 匷
jkie 噱
jko 圈
jkoe 哜 嚌
jkoo 呌
jkou 嗟 圏 啳
jku 匠
jkua 咎 叽 喼 匛 呁
jkue 啾 吃 囷
jkui 噍 喞 嘄 噭
jkuo 嚼 嗘 嘦 吤 冏 囧 唫
jl 加
jla 建
jlaa 剿 耭 勦
jlae 剧 麚 惤 勥 刔 麏
jlai 焏
jlao 劲 迳 竣 刭 逫 憰
jlau 迦 耞
jle 劫
jlea 怇 耟 勁 剄 逕
jlee 靖 耩 耕 勣 麉 悈
jlei 荆 耤 刦 劼 迼 慬 麠 焣
jleu 剞 劂
jli 竞
jlia 惧 竭 迥 憬 懁 毠 嗧 劋 竸 怚 戄 麕 悁 競 懼
jlie 遽 懻 勮 劇
jlo 惊
jloe 迹 剂 愱 剤 麖 恔 劑
jlou 煎 鹻 勬 勌 慻
jlu 近
jlua 麂 忣 竫 麔 竘
jlue 悸 麇 刉 憍 勪 劗
jlui 憿 燞 竧 逈 懏 進
jluo 剑 鹸 剣 忦 惍 鹶 鹼 劍
jm 间
jma 架
jmaa 檵 機
jmae 毽 楗 椐 糨 楖 梞 椵 睷 櫭 梮 駶 駃 桾 騝 盡
jmai 毑 朻 極 槳
jmao 骏 橘 樛 駿
jmau 驾 枷 駕
jme 精
jmea 睫 楷 柜 桱 粔 駏
jmee 睛 瞡 枅 樍
jmei 桔 槿 粳 樭 橶 檕 槚 樫 榗 橿 杢 櫵 柾 欍 檋 驧 闲 糮 栉 檟 監 檻 驚
jmeu 柩 橛 梜 榎 椷 栫 狊 橜 栵 骑 騎
jmi 监
jmia 楫 枧 騔 檝 橺 瞯 瞷 楬 楐 橸 駉 椇 睊 欔 橌 梋 間 梘
jmie 骥 椒 梷 驥
jmii 槛
jmio 駫
jmo 杰
jmoe 校 桨 栨 櫅 槉 糡 椄 楶 齍
jmoo 榉 槣 糘 榢
jmou 眷 桊 椾 糋 毩 睠
jmu 机
jmua 极 驹 桀 阄 枸 桷 桝 榤 檞 枃 杦 眗 椈 毱 粷 駨 閒 駒
jmue 骄 榘 櫤 驕 櫛
jmui 桕 雧 閰 欅 櫸
jmuo 检 睑 糭 櫼 検 檢 瞼
jmuu 柧 馸 枛
jn 姐
jna 裾
jnaa 禨
jnae 犟 犍 鵋 犌 婽 祲 嬧 婮 鶋 鴂 鴃 鵘 襈
jnao 姢 鵔 鵕
jnau 鴐 姦 姧 牞
jne 姬
jnea 婕 媘 鶛 鵛 姖 歫
jnee 奸 婧 祴 襀 鳽 妌
jnei 襟 妓 祮 姞 襋 鴶 襺 袺 媎 嫤 娵 姫
jneu 犄 裌 鵊 袸 鷢
jni 娟
jnia 鹃 犋 禝 襉 鴡 犑 鶪 袓 裐 鶡 襇 鵑
jnie 媫
jno 嫁
jnoa 鵳
jnoe 嫉 鹫 姣 鹡 鵁 褯 婛 鶁 鶺 鷲
jnoi 裥
jnoo 犗
jnou 鹣 嫅 鶼
jnu 娇
jnua 鸠 袶 衱 婙 奺 婅 鵴 袀 姊 鳩
jnue 鷑 鷮 孂 嬌
jnui 鹪 牮 鸄 嬓 襷 鷍 鷦
jnuo 衿 妗 袷 鶏 鷄 衸 祫 鴵
jo 家
joa 谨
joaa 谲
joae 诫
joau 讥
joe 竭
joea 旌
joei 桨
joeo 竣
joeu 剂
joo 浸
jooe 浇
jooi 憬
jou 兼
jp 金
jpa 及
jpaa 九
jpae 節
jpao 久
jpau 角 笳
jpe 籍
jpea 牋 箋
jpee 笺 笄 筓 箐
jpei 筠 箕 簎 簊 籈
jpeu 筴
jpi 臼
jpia 笕 箿 筥 箘 箟 身 龜 筧 簡
jpie 簴 舉
jpii 丯
jpo 简
jpoa 皲 皹 皸
jpoe 筊 箤
jpou 箭
jpu 斤
jpua 筋 笈
jpue 篯 簥
jpuo 笒 籛
jq 基
jqa 晙
jqae 猳
jqai 獎
jqe 晋
jqea 昛 晉
jqei 狤 暕 歏 曔
jqeu 獗 敧 碁
jqi 旧
jqia 晶 狙 狷 靓 暻 獧 玃 靚
jqii 甲 刏
jqo 景
jqoa 惎 猏
jqoe 狡 獍 諅 晈 猄
jqou 炅 欮
jqu 静
jqua 期 犱 昅
jque 犵 敽
jqui 暞 曒 獥 鶄
jquo 靜
jr 今
jra 假
jraa 僟
jrae 健 倔 倨 侭 侰 侷 儘
jrao 仅 俊 僪
jrau 伽 乆
jre 借
jrea 侥 僭 伡 俴 倢 俓 佢 偕
jree 亼 傋
jrei 佳 僵 伎 佶 儆 俥 劔 僸 龣 價 僥 僅
jreu 侟 傉
jri 俱
jria 偈 儶 偮 倶
jrie 偼
jro 倦
jroa 傕
jroe 佼 僦 倞 傹
jroo 傢 僒 亽
jrou 偂
jru 件
jrua 伋 倃 傑 係
jrui 介 僬 儌 儁
jruo 价 俭 倹 仱 儉
jruu 伒
js 尽
jsa 局
jsaa 磯 饑
jsae 崛 且 豭 嵹 崌 砄 崫 足 見
jsai 巾 岊 舏 屫 屈 漿
jsao 峻 馂 餕
jse 居
jsea 矩 碊 崨 嶜 岠 餞
jsee 饯 豜 鼱 汬 洯 飦
jsei 禁 馑 礓 毄 撃 卙 礛 嶻 礍 巈 瑴 硈 擊 屆 饉
jseu 碱 躸 嶥 輋
jsi 届
jsia 兢 碣 岬 嘏 嶯 磵 礀 飷 砠 鼳 碅 嵑 岨
jsii 亅
jsiu 巀
jso 浆
jsoe 饺 嵴 硛 峧 餃
jsoo 挙
jsou 餋 鼸
jsu 祭
jsua 饥 矶 岌 飢 嵥 凥 躹 氒 嶰
jsue 矫 峤 嵆 揫 矯 嶠
jsui 礁 嶕 嶣 擧
jsuo 硷 峜 礆 岕 砎 砛
jsuu 屐 屦 餰 澃 屩 屨
jt 界
jta 堀
jtae 堲 埐 壗 塈
jtao 弆 埈 畯
jte 畸
jtea 堦 坙
jtee 坖 坓
jtei 墼 壃 疅 墐 埾 塂 臸 堅
jteu 埉 堿
jti 吉
jtia 嘉 墹 畕 堺 埛 埧 坥 坰
jtie 壉
jtii 坚
jto 境
jtoe 塉
jtoo 堻
jtou 埢
jtu 均
jtua 圾
jtui 垍 墍 垧
jtuo 圿 畍
ju 几
jua 肌
juae 胶
juai 鲸
juao 桀
juau 狙
jue 钧
juee 锯
juei 稷
jueo 笈
jui 俊
juia 倔
juie 僵
juiu 俭
juo 剑
juu 舰
jv 际
jva 聚
jvae 郡 鲫 腱 鱾 鱀 腵 鰎 膙 腒 鲪 魢 鯽 鮶
jvai 鱂
jvao 胫 脧 陖 朘 膠
jve 脚
jvea 脻 鮔 階 脛
jvee 阱 腈 肼 鰿 聙
jvei 鄄 鲒 鄿 郆 霙 鰹 鮚
jveo 郏
jveu 鳜 鰔 鱖 郟
jvi 击
jvia 胛 霵 郹
jvie 鮆 臄
jvii 鲣 魝
jvo 郊
jvoe 脊 胶 鲸 霁 鲛 鲚 隮 膌 翞 鳉 魰 霽 鱭 鮫 鯨
jvoo 聻
jvou 翦 鳒 腃 鰜
jvu 阶
jvua 降 肌 鰶 鯦 陱 鮈 際
jvue 鯚 鱎 鯯
jvui 井 卽 膲 臇
jvuo 魪 腳
jvuu 肵
jw 教
jwa 珈
jwaa 璣
jwae 琚 珒 璶 玦 珺
jwao 璚
jwe 救
jwee 珏 琎 瑧 玨
jwei 敬 瑾 瑨 璥 璂
jweu 瑊 珔 夏 夓
jwi 京
jwia 玾 琾 亰 璟 瓹 斍
jwie 齑
jwo 璄
jwoe 璾 珓
jwou 韲 齌 瑐 韏 齎 齏 齊
jwu 交
jwua 玑 玖
jwue 敿
jwui 齐 敫 璬 璡
jwuo 虠 敎 玠 琻
jx 觉
jxa 窘
jxe 举
jxee 恝 穽 絜
jxei 覉 覊 繋 繫 憼 慦 緊
jxeu 尖 憠
jxi 紧
jxia 贾 愳 賈 窶
jxo 窭
jxoa 覚
jxoo 尐
jxou 絭
jxu 急
jxua 究 系 窌
jxue 窖
jxui 蠽
jy 记
jya 艰
jyaa 譏
jyae 诀 誋 叚 謽 誳 頵 記 訣
jyai 訆 醬
jyao 颈 谲 頚 矡 譎
jyau 姜 袈
jye 计
jyea 讵 諓 誱 頸 詎
jyee 讲 诫 讦 顜 講 訐 誡
jyei 警 谨 谏 颉 诘 酵 裚 譼 褧 讘 計 諫 詰 頡 謹
jyeo 颊 頬
jyeu 醎 頰
jyi 矍
jyia 羯
jyie 醵
jyo 酱
jyoe 詃 醤 誩 詨
jyoo 謇
jyou 谫 謭 譾
jyu 竟
jyua 鸡 讥 颎 顈 諊 讂 熲
jyue 譑
jyui 醮 鳮 譤 譥
jyuo 釂
jz 将
jza 隽
jzaa 臫 乣 羂
jzae 踞 跽 踺 彑 貑 艍 跼 赽 趹 镼
jzai 赳 孑 孓 趉
jzao 畿 蹫 幾
jzau 跏
jze 己
jzea 距 臶 踕 踁 踐
jzee 践 趼 丮 蹟 雃
jzei 集 截 羁 羇 趌 踖 躤 踋 坕 踙 踑 羈 艦
jzeu 蹶 罽 踦
jzi 爵
jzia 舰 瞿 趄 卺 雎 艥 罝 跙 貗 罥 爴 貜 躩 舺 雋
jzie 乩 躆 孒
jzii 亟 丩
jzio 卪
jzo 焦
jzoa 矜 矝
jzoe 跤 跻 蹴 蹵 蹐 躋 跡
jzoo 蹇
jzu 踽
jzua 镹 跔 踘 趜 將
jzue 蹻
jzui 雦 臮 趭
jzuo 跲 趝 雞
k 可
ka 孔
kae 垦
kb 卡
kba 痾
kbe 夔
kbee 髨
kbei 疴 瘔
kbeu 髡
kbi 贶
kbia 貺
kbo 肻
kboe 貥 痎
kbu 鬠
kbua 齁 髠
kbue 髺
kc 苦
kca 葵
kcae 龈 齦
kcai 芤
kce 苛
kcea 蒈
kcee 衎 軭 軖
kcei 轲 蚵 莰 茥 尅 葀 軻
kceu 蝰 荂 轗
kci 蒉
kcia 蔮 薖 軦 藈 菎 蜫 蕢
kco 蔻
kcoe 薧 輆
kcoo 蔲 萿
kcou 虁
kcu 蝌
kcua 輡
kcue 蛞 萪 厒
kcui 蘬 蘷 蒊
kcuo 轁
kcuu 龂 齗
kd 况
kda 湀
kdae 鬫
kdai 泏
kde 夸
kdee 洭
kdei 奎 溘 濭 洘
kdi 渴
kdia 溃 渇 潉 涃 濶 況 潰
kdo 涳
kdoe 漷 奒 漮
kdoo 滱
kdu 夼
kduo 浍 澮
ke 开
kei 逵
keia 匮
keu 奎
kf 控
kfa 揆
kfe 扛
kfea 揩 挳
kfei 拷 撗 摃 搕 摼 擖 摳
kfeo 擓
kfeu 抠 挎
kfi 扣
kfia 捆 撌 颽 擃
kfie 掯 揁
kfio 挄
kfo 抗
kfoe 扩 拡 擴
kfoo 揢
kfu 括
kfue 旝
kg 客
kga 康
kgae 宆
kgai 邝
kgao 戣
kge 库
kgee 寇 冦 宼
kgei 宽 骷 戡 彉 廤 彄 寛 懬 庫 寬
kgeu 骻 顝
kgi 髁
kgia 冚 肎 冝
kgo 魁
kgoe 廓 鞟 鞹
kgoo 髋 鞚 髂 髖
kgu 廥
kh 科
kha 巪
khe 烤
khei 炣 秙
kheu 煃
khi 稞
khia 焜 熴 稇 稛
kho 炕
khoe 烗 穅 爌 穬
khou 炏
khu 卼
khue 焅
khui 穒 虧
khuo 炌
ki 口
kia 眶
kiaa 骷
kiae 瞌
kj 凯
kja 鍨
kje 铐
kjea 锴 鍇
kjei 缂 钶 鎶 鑎 鏂 銬 鈳 緙 鏗
kjeu 绔 銙 鍷 絝
kji 铿
kjia 铠 锟 锞 釦 鋛 鐀 綑 鐦 凱 鎧 錁 錕
kjie 鉲 錹 鍞
kjio 絖
kjo 纩
kjoe 钪 鏮 絋 鉱 鑛 鈧 纊
kjoi 锎
kjoo 鑧
kjou 錓
kju 銵
kjue 鎎
kk 困
kka 咖
kkae 嘅
kkai 叩 匩
kke 匡
kkee 哐 噄 匤 哢
kkei 嗑 呵
kkeu 喹 咴 咵
kki 啃
kkia 喟 匮 呙 圐 嘳 喎 匱
kkie 咔
kko 咳
kkoe 吭 匟 囥
kkoo 喀
kku 咯
kkui 嚳
kkuo 哙 匼 噅 噲
kl 刻
kla 慨
kle 刊
klea 勓
klee 劻 恇
klei 勘 逵 蒯 剋 勀 勊 剾 刲
kleu 刳 恗
kli 恺
klia 愦 悃 剀 悝 哿 惃 怾 愒 剴 愷 憒
klo 慷
kloe 忼 劥 懭
kloo 悾
klu 愧
klua 恪 惂 怐 竘
klue 忾 适 愾
kluo 刽 劊 龕
kluu 劶
km 阔
kma 睽
kmae 瞰 駃 阚 闞
kmao 骙 楑 騤
kme 柯
kmea 楷
kmee 框 眶 栞 闚 開
kmei 枯 瞌 栲 橭 兞 榼 楛 閸 閜 檻 瞘
kmeu 盔 眍 桍 楏
kmi 棵
kmia 阃 骒 槶 瞶 棞 闿 矙 眖 樻 騉 梱 睏 闓 騍 閫
kmii 槛
kmo 糠
kmoe 闶 粇 槺 矌 閌
kmoo 梡 闊
kmu 桰
kmue 栝
kmui 騩 櫆
kmuo 桧 糩 檜
kn 肯
kna 裉
kne 袔
knea 牼 娙
knei 娔
kneu 袴 姱
kni 靠
knia 嬇 婫 裩 鹍 鵾 祵 裍
knie 裃 褃
kno 裤
knoa 禈 裈 褌 鶤
knoe 犒 妔 嫝 褲
knoo 鵼
knou 犪
knu 犐
knua 袧 鵟
knue 姡
knui 媿
ko 快
koe 廓
koo 宽
kp 筷
kpa 馗
kpe 筐
kpee 筺 箦 簀
kpei 筘 籄
kpeo 籗
kpi 篑
kpia 簻 簣
kpo 箜
kpoo 簆
kpu 筈
kq 狂
kqa 暌
kqe 款
kqea 昆
kqei 氪 歁 狜 歀 晆 欯
kqeu 晇
kqi 哭
kqia 歞 暟 敤 猑
kqie 欳
kqo 旷
kqoe 欬 犺 昿 曠
kqou 晜
kqu 狯
kqua 欿 欵
kquo 獪
kr 会
kre 龛
krei 樖 會
kreu 侉
kri 侃
kria 偘
krie 佧
kro 伉
kroe 侅 儣
kroo 倥
kru 傀
krua 佝 俇
krue 俈
kruo 侩 儈
ks 克
ksa 豤
ksaa 咼
ksae 岂 硍
ksao 硁
kse 磕
ksea 硜
ksei 嵌 岢 卝 嵁 崁 磡 礚 殻 嶱 礊 硻 瞉 鷇 砢 兙 豈 殼
kseu 頢
ksi 馈
ksia 兡 兝 兣 磆 嵑 岲 崐 崑 硱 兛 饋
ksii 刮
ksiu 岿 厼
kso 矿
ksoe 砊 嵻 躿 砿 毃 礦
ksoo 崆 碦 硿 躻
ksu 砍
ksua 尻 峞 硊
ksue 嵙 矻
ksui 磈 餽 巋
ksuo 峇
kt 考
kta 块
ktae 垦 堀
ktai 凷
ktao 唟
kte 堪
ktei 坷 壒 墈
kteu 垮
kti 坤
ktia 垲 堁 墤 堒 塏
ktie 垰
kto 坑
ktoa 壳 坈 壸 壼
ktoe 圹 堃 壙
ktoo 埪
ktu 坎
ktua 埳
ktui 塊
ktuo 塪 圦 墾
ku 看
kv 亏
kva 鄈
kvai 胐
kvao 聧
kve 胯
kvee 邼
kvei 鲓 胢 鮳
kveu 郀 鮬
kvi 鲲
kvia 聩 聵 鯤
kvie 胩
kvo 霩
kvoe 阬 鱇 邟 鄺
kvoo 臗
kvu 脍
kvua 翗
kvue 鯌
kvui 隗 聭
kvuo 郐 鲙 鄶 膾 鱠
kw 珂
kwa 瑻
kwe 攷
kwi 琨
kwia 髛
kwo 韕
kwu 亢
kwua 敂
kwuo 璯
kx 空
kxa 恳
kxaa 窼
kxae 窟
kxe 恐
kxee 窥 窛 窺
kxei 窾
kxeu 黋 尡
kxi 窠
kxo 喾
kxoo 愙
kxu 窽
kxua 衉
kxuo 懇
ky 颗
kye 诓
kyea 誙
kyee 誆
kyei 竷 醘 頍
kyeu 顑 誇
kyi 课
kyia 醌 顆 課
kyo 颏
kyoe 頦
kyoo 羫
kyu 酷
